LSOA,FTTP_AVAILABILITY,FTTC_AVAILABILITY,GFAST_AVAILABILITY,DSL_AVAILABILITY,CABLE_AVAILABILITY,OPERATOR_COUNT,DOWN_MBPS,UP_MBPS
E01028438,0.630137,0.780822,0.013699,0.808219,0,4.109589,85.85920513,20.03255769
E01028287,0.05,0.975,0,0.975,0.875,5.769231,78.649025,11.29326667
E01030894,0.185714,1,0,1,0.042857,3.114286,30.31372693,7.051567555
E01001302,0,1,0,1,0.875,5.625,56.99540278,8.839
95GG39S3,0.836066,0.065574,0,0.114754,0.836066,4.622951,102.1997157,14.78833333
E01026549,0.083333,0.916667,0,0.916667,0,2.833333,20.27281481,3.818333333
E01027358,0.673077,0.951923,0,0.951923,0,3.846154,85.26553922,14.6346
W01000635,0.459016,0.918033,0,0.918033,0,3.852459,41.75313095,11.26047024
E01027133,0.939394,0.909091,0,0.909091,0.939394,7.787879,109.3619417,13.63230833
E01022025,0.219512,0.691057,0,0.699187,0,3.467213,35.92110938,15.64575
E01001504,0.041667,0.833333,0,1,1,5.833333,188.453875,13.45825
95TT13S1,1,0.088235,0,0.088235,0,3.970588,49.89828611,14.40338611
E01009651,0.424242,0.969697,0,1,0.575758,6.30303,60.00197917,10.46985417
E01001772,0.958333,0.958333,0,1,0.958333,7.166667,100.8787879,15.00693939
E01013771,0.791667,1,0,1,0.875,8,121.4854295,16.08657692
E01014994,0.343137,0.852941,0,0.852941,0.107843,3.57,41.95883333,10.32551471
E01019312,0.235294,0.911765,0,0.926471,0,3.764706,39.77375556,8.394305556
E01017764,0.463415,1,0,1,0.170732,3.341463,52.27862963,8.876342593
E01030552,0,0.967213,0,0.967213,0.672131,5.229508,51.8885463,10.61074537
E01006085,0.618421,0.907895,0.092105,1,0,3.907895,44.18924638,9.953405797
E01009910,0.172414,0.793103,0,0.862069,0.965517,5.724138,66.03587879,10.89675758
E01018761,0.742424,0.242424,0,0.257576,0,1.060606,44.63524167,10.90034167
E01007201,0.769231,1,0,1,0,3,84.14192857,14.17235714
E01001253,0.428571,0.885714,0,0.971429,0.742857,5.914286,41.04776389,13.44706944
E01032318,0.37037,0.777778,0.222222,1,0,3.777778,37.23896429,10.872
E01013591,0.848485,1,0,1,0.939394,8.424242,83.253625,13.8655
E01033096,0.890909,0.072727,0,0.090909,0.854545,4.618182,52.42553086,9.859154321
E01001750,0.957447,0.808511,0,0.957447,0.851064,6.638298,99.55773958,11.85625
E01015855,0.5625,0.8125,0,0.9375,0.90625,5.71875,121.5862417,12.63218542
E01019949,0.526316,0.964912,0,0.964912,0,3.403509,19.81152273,5.391522727
E01033300,0.040816,0.729592,0.066327,0.923469,0.438776,4.450262,56.81134783,12.85968478
W01000264,0.938776,0.020408,0.040816,0.061224,0,2.959184,77.20307667,16.740825
E01019242,0,0.869565,0,1,0.826087,6.521739,66.49623333,8.806633333
E01008220,0.05,1,0,1,0.9,5.8,14.0442,4.0242
E01015261,0.714286,0.742857,0.2,0.971429,0.628571,4.485714,49.01440741,9.739018519
E01001582,0.352941,1,0,1,0.823529,5.617647,72.54873333,10.86643333
E01000989,0,1,0,1,0.783784,5.567568,183.0388796,39.52374074
E01001254,0.555556,1,0,1,0.888889,6.527778,74.10068981,8.28775463
E01021837,0,1,0,1,0.956522,5.913043,124.2575417,12.31514583
S01010625,0.85,1,0,1,0,7.4,31.799625,8.121347222
E01011989,0.166667,0.694444,0,1,0.833333,5.791667,99.3880303,13.30886364
E01011662,0.8,0.133333,0,0.166667,0.8,4.724138,134.23625,22.50455
E01031563,0.058824,1,0,1,0.882353,6.735294,54.837,10.1436
S01011490,0.551724,0.862069,0,0.931034,0.689655,5,29.194125,5.337
E01010388,0.945946,0.054054,0,0.054054,0.540541,4.081081,46.94555556,11.22530556
E01028120,0.925926,0.925926,0,0.962963,0.888889,8.111111,75.73148039,14.15057843
E01023229,0.2125,0.7375,0,0.95,0,2.55,42.27618966,9.459131034
S01007040,0,0.962963,0,0.962963,0,3,43.72471429,12.24642857
E01019427,0.163265,1,0,1,0.632653,4.285714,61.10861538,10.53236923
S01007192,0.428571,1,0,1,0.142857,3.333333,32.318125,9.7475
E01018828,0.34,0.86,0,0.86,0,3.2,32.88993137,8.569352941
E01030616,0.173913,1,0,1,0.826087,5.5,54.05461111,7.850796296
E01033433,0.472868,0.472868,0.03876,0.542636,0.170543,3.272727,103.5233675,24.96124145
E01026515,0.128205,1,0,1,0,2.487179,26.6266,7.528366667
E01011039,0.969697,0.787879,0,0.787879,0.757576,7.030303,64.51533333,14.37070833
S01006951,0.142857,0.928571,0,0.928571,0,3,26.91,6.162685185
S01012221,0.590909,1,0,1,0.772727,7.272727,29.3725,8.32625
E01003200,0.016949,0.949153,0,0.983051,0.610169,5.152542,54.69917857,35.34267857
E01020297,0.729167,0.979167,0,0.979167,0,3.510638,31.02937179,8.321147436
S01012401,0,0.931034,0,0.931034,0,2.931034,35.59481818,6.599318182
E01001035,0,0.916667,0,0.958333,0.791667,5.291667,49.68454545,18.09454545
E01004528,0.833333,0.125,0.125,0.333333,0.625,4.791667,33.00977083,12.809625
E01019403,0,1,0,1,0,3,31.58561538,6.756961538
E01019461,0.422535,0.084507,0,0.084507,0.056338,2.661972,30.60930556,7.407270833
E01015445,0.921053,0.894737,0,1,1,7.552632,51.03080833,15.85255
E01029303,0.6,0.64,0.36,1,0,4.1,30.44627778,6.41712963
E01023683,0.625,0.75,0.25,1,0.9,5.525,73.76485714,13.61571429
E01026468,0.326087,0.934783,0.021739,0.956522,0,3.25,36.36482133,9.191644
E01029538,0.387097,0.903226,0,0.935484,0.870968,5.483871,119.7375556,16.54588889
E01010777,0.704545,0.818182,0,0.818182,0.613636,4.886364,55.615,14.18114286
W01000629,0.96875,1,0,1,0.9375,6.8125,75.25807692,11.01305128
E01019450,0.037037,1,0,1,0,3,28.37412121,6.757121212
E01010860,0.681818,0.840909,0,0.886364,0.454545,4.413793,38.25365079,10.18819841
E01021152,0.931818,0.818182,0,0.818182,0.613636,4.090909,44.99742037,11.90882407
E01023970,0.430769,0.984615,0,0.984615,0,3.369231,26.0082549,5.809088235
E01013993,1,1,0,1,0,5,39.72003846,8.850423077
W01001482,0.390244,1,0,1,0,2.95122,44.6178125,10.27228125
E01012745,0.093023,1,0,1,0.906977,5.744186,56.60983333,11.19966667
E01014567,0.957447,0.297872,0,0.361702,0.978723,5.297872,48.00147917,7.780229167
E01008591,0,0.75,0,0.964286,0.892857,5.464286,24.01759259,5.246666667
E01007016,0.791667,0.208333,0,0.208333,0.791667,4.625,58.1235,18.6805
W01001210,0.241379,1,0,1,0,3,29.90961538,7.501153846
W01000888,0.428571,0.979592,0,0.979592,0,2.959184,39.65152899,9.503043478
E01024792,0.385321,0.963303,0,0.963303,0,3.321101,46.37241176,16.60702941
E01032725,0.918033,0.786885,0.131148,0.95082,0.868852,8.295082,130.3814333,31.0649381
E01002120,0.045455,1,0,1,0.909091,5.863636,68.94314583,10.56947917
E01021882,0.277778,0.9,0,0.9,0,3.066667,44.17778205,24.83714744
E01013671,0.833333,1,0,1,0.866667,7.6,83.09420238,61.25628571
E01010574,0.461538,0.961538,0.038462,1,0.807692,5.557692,112.3652024,14.84472619
E01014885,0.288462,0.788462,0,0.788462,0,2.307692,49.6743963,14.89208457
E01028934,0.857143,0.8,0.2,1,0.857143,6.4,43.32553571,7.569166667
E01007939,0.542857,1,0,1,0.457143,4.857143,44.66267593,7.281425926
E01033123,0.651163,0.55814,0.44186,1,0.790698,6.534884,60.56522222,11.27869444
S01006705,1,0.962963,0.074074,1,0,6.740741,66.78435185,19.53037037
E01000899,0.082474,0.701031,0,0.989691,0.752577,5.226804,61.15283333,12.52773333
W01001462,0.325,0.9,0,0.9,0,3,32.76603571,7.09175
S01008004,1,0,0,0,0.375,4.625,147.3983,20.78858
E01004047,0.9,1,0,1,0.95,7.45,153.8428571,62.57857143
E01015452,0.12,0.72,0,0.88,0.78,5.26,61.90425,10.82410606
E01016930,0.814815,0.888889,0.111111,1,1,5.851852,73.03532143,10.53978571
W01000024,0.025641,0.974359,0,0.974359,0,2.974359,29.32254167,7.451083333
W01001807,0.653846,1,0,1,1,6,64.29209091,12.34536364
E01002967,0,0.35,0.633333,0.983333,0.85,5,131.2281875,22.51283333
E01008490,0.02381,0.5,0,0.97619,0.904762,5.285714,63.51508824,11.98767647
E01008574,0.108696,0.913043,0,1,0.652174,5.217391,45.32594118,10.8867451
E01029157,0.741379,1,0,1,0,3.758621,36.13204545,7.912045455
E01011151,0.192982,0.964912,0,0.964912,0,3.912281,29.25063141,8.570551282
E01026129,0.047619,1,0,1,0.952381,6.857143,50.75428333,7.94745
E01021111,0.777778,1,0,1,0.333333,5.555556,42.46609091,10.5745
E01010813,0,0.666667,0,1,0.974359,5.615385,33.59333333,9.166666667
E01029815,0.394737,0.973684,0,1,0,3.105263,38.51337698,12.97635714
E01023684,0.431373,0.803922,0.019608,0.823529,0.764706,5.235294,73.39989474,11.51914035
E01031211,0.377778,0.666667,0.088889,0.755556,0,3.090909,44.16705882,14.58633333
S01010184,0.588235,0.352941,0,0.588235,0.647059,4.235294,34.33491667,6.412166667
E01022963,0,1,0,1,0.972222,6.916667,116.8703095,12.87917857
E01016555,0.058824,1,0,1,0.823529,5.441176,92.31230769,9.689692308
E01019762,0,0.893617,0.106383,1,0,3.893617,31.88944667,8.676133333
E01015568,0.423077,0.269231,0.076923,0.865385,0.403846,5.923077,65.09029487,11.44753846
E01009957,0.178571,0.857143,0.071429,0.964286,0.857143,5.428571,73.44877778,14.04788889
W01000443,0.22069,0.551724,0,0.841379,0,1.527778,20.41612403,4.584817829
E01025769,0.090909,0.931818,0,1,0.272727,2.5,84.24966667,14.49430208
E01008315,0.758621,0.827586,0,0.827586,0.827586,4.62069,81.4244,11.86846667
E01017722,0,0.2,0.8,1,0.96,5.12,43.32818519,7.550111111
E01015813,0.590909,0.5,0.5,1,0.954545,6.545455,53.729125,8.391
E01014832,0.575758,0.545455,0.454545,1,0.575758,5.272727,28.8284,6.571183333
W01000116,0.041096,0.972603,0,0.972603,0,2.945205,27.12130263,6.926087719
E01018005,0.278689,0.655738,0.327869,0.983607,0.852459,6.081967,86.81609091,37.00472727
E01022399,0.021277,1,0,1,0,3.021277,36.43859375,11.5828125
E01018861,0.6,0.642857,0,0.642857,0,3.071429,39.17607692,9.230365385
E01003406,0.1875,1,0,1,0.4375,5,52.6382,11.3354
E01003140,1,0,0,0,1,5.8,98.65596875,54.29986458
E01028040,0.067797,0.881356,0,0.949153,0,2.22807,32.86596154,7.748653846
E01004127,0.909091,1,0,1,0.818182,6.5,61.75095455,23.36960606
E01009294,0.118644,0.983051,0,1,0.813559,5.610169,45.18315625,8.61584375
E01023478,0.126984,0.547619,0.055556,0.936508,0.5,4.580645,54.78235802,14.80668827
E01032196,0.448718,0.910256,0.051282,0.961538,0,3.820513,39.05187121,10.26606818
E01018995,0.951456,0,0,0.038835,0,2.951456,30.14894444,5.786407407
E01006869,0.311111,0.911111,0,0.911111,0.377778,3.644444,35.20095238,10.59930952
E01017632,0.511364,0.397727,0.113636,0.511364,0.022727,2.545455,46.50805938,12.8668875
E01017650,0.911765,0.970588,0,0.970588,0,4.602941,88.53804,17.34857
E01024754,0.351351,0.905405,0,0.905405,0.013514,3.054054,37.33490741,15.64916667
E01002913,0.365854,0.804878,0,0.95122,0.658537,6.675,69.0205,10.95945455
E01022320,0,1,0,1,0.829268,5.658537,50.93658333,8.225291667
E01008274,0,0.973684,0,0.973684,0,2.973684,18.85604545,4.064909091
E01005295,0.338462,0.430769,0,0.661538,0.661538,4.8125,50.49127193,13.53251754
95ZZ04W1,0.944954,0.954128,0,0.963303,0,3.477064,42.78181,16.6739
E01022720,0.35,0.883333,0,0.966667,0.483333,5.833333,44.94452941,8.502382353
E01021324,0.268293,1,0,1,0.878049,5.731707,93.0685625,20.969125
E01008058,0.9375,0.8125,0,0.8125,0,3.6875,68.6860625,13.41382292
E01026577,0.065934,0.494505,0,0.659341,0.516484,4.179775,53.41902564,9.986346154
E01024053,0.1,1,0,1,0,4.166667,24.36791667,6.425518519
S01008876,0.8,0.75,0.35,1,0.9,7.8,58.405625,12.524375
E01008738,0.73913,1,0,1,0.043478,5.173913,40.24976667,11.04443333
E01010452,0,0.97561,0,0.97561,0.804878,5.6,79.25071429,16.48714286
E01019522,0.3,0.833333,0,0.966667,0.266667,3.666667,49.5601875,8.352729167
E01000187,0.027778,1,0,1,0.555556,4.111111,55.10422436,12.01210256
E01028688,0,0.5,0.5,1,1,5.5,80.531375,17.85075
95DD16W1,0.604396,0.747253,0,0.824176,0,2.824176,59.03496569,11.75345098
E01026029,0.705128,0.987179,0,0.987179,0,3.641026,31.97212069,7.678241379
S01008402,0.382353,1,0,1,0.852941,6.676471,83.64793939,12.1199697
E01028211,0.96,0.04,0,0.04,1,4.88,91.673125,17.56125
E01031130,0.324324,0.702703,0.27027,0.972973,0.594595,4.888889,63.93356863,13.27458824
E01026447,0.96875,1,0,1,0,3.40625,46.53731111,11.22050476
E01017622,0,0.885714,0.114286,1,0.8,4.542857,62.052625,9.2181875
E01029579,0.5,1,0,1,1,5.9375,50.76065686,8.43945098
E01005985,0.880952,1,0,1,0.761905,6.380952,81.542125,12.31515
E01026094,0.816667,0.95,0.033333,0.983333,0,3.216667,48.57704762,21.15745238
E01027968,0.425,0.975,0,1,0.85,6.1,68.61907692,10.18592308
E01027395,0.644444,0.666667,0.111111,0.777778,0.6,4.577778,55.94517544,12.66663158
E01010855,0.352273,0.579545,0.147727,0.727273,0.238636,3.5,31.58319231,9.594509615
E01003968,0.117647,0.882353,0,0.882353,0.882353,5.705882,43.535,12.595
95NN01S2,0.797101,0.57971,0,0.623188,0,2.57971,30.45012,5.533886667
E01025377,0,0.860465,0.116279,0.976744,0.44186,4.190476,21.53499524,5.483640952
E01031646,1,0.954545,0.045455,1,0,6.772727,44.12277778,14.81380556
S01012660,0.045455,0.454545,0,1,0.954545,4.909091,91.678,16.196
E01029524,0.324324,0.918919,0.081081,1,0.837838,5.486486,145.7,15.48369231
E01016427,0.181818,1,0,1,0.515152,5.727273,36.41209804,7.600686275
E01010802,0.893617,0.340426,0.297872,0.829787,0.787234,5.711111,106.6426818,50.08927273
E01000774,0,1,0,1,0.961538,5.923077,116.6407727,14.21868182
E01023532,0,0.966667,0,0.983333,0.833333,5.566667,60.88336842,10.45394737
E01013255,0.955882,0.852941,0,0.867647,0.073529,5,81.37840741,27.27732407
E01017158,0.559322,0.983051,0,1,0.983051,7.474576,49.04378947,34.69563158
E01002019,0,0.92,0.08,1,0.72,5.16,48.55683333,9.744025641
E01023734,0.615385,0.820513,0.153846,1,0.820513,5.461538,96.39740476,14.43319048
E01030604,0.944444,0.055556,0,0.055556,0.777778,4.5,46.280875,5.787805556
E01024217,0.761194,0.910448,0,0.910448,0.014925,3.776119,71.31718182,20.35176263
95PP04W1,0.599278,0.696751,0,0.707581,0,2.522727,25.35124359,5.521128205
E01016304,0.791209,0.252747,0.054945,1,0.252747,4.175824,69.68346667,19.03281667
E01033628,0.868852,0.459016,0.04918,0.540984,0.934426,5.295082,84.25145455,20.34709091
E01030200,0.468571,0.828571,0,0.845714,0.005714,1.653179,45.15235635,11.19403849
E01017572,0.263158,1,0,1,0,3.131579,35.56433333,10.93951667
E01020167,0.9375,0.875,0,0.875,0.71875,5.5,62.34299167,13.05914167
E01016910,0.875,1,0,1,0.791667,8.208333,128.488,17.51827273
E01004703,0.66,0.84,0,1,0,5.08,41.00710145,12.64571739
E01027212,1,1,0,1,0.15,7.2,50.70699479,32.22835417
E01024339,0.142857,0.469388,0.44898,0.979592,0.857143,6.22449,69.36122549,11.15804902
E01029961,0.8125,1,0,1,0.875,7.5,110.0553819,12.643625
E01028655,1,1,0,1,0,4,47.42981306,19.13861712
E01027037,0.95,0.05,0,0.05,0.5,4.025,85.74660714,16.11061905
E01007169,0.816327,0.22449,0,0.22449,0.795918,4.530612,95.44317949,16.23994872
E01025616,0.058824,1,0,1,0.647059,4.323529,62.09488148,10.73914074
E01017717,0.448276,0.885057,0,0.942529,0.011494,2.488372,49.31922043,12.30233871
E01032936,0.920635,0.936508,0,0.936508,0.746032,7.825397,81.01585539,15.19856569
E01032628,0.453237,0.877698,0,0.906475,0,2.81295,31.75581884,7.536405797
E01029395,0.655172,0.770115,0,0.781609,0,3.732558,53.63181818,17.88975
E01026132,0.081395,0.651163,0,0.77907,0.325581,4.8,69.02179167,14.512625
E01012371,0,1,0,1,0.958333,5.875,55.70458333,10.505
E01017828,0.026316,0.973684,0,0.973684,0.868421,4.657895,91.0961875,24.27289583
E01021258,0.9,1,0,1,0.8,6.4,45.64428571,8.672142857
E01024546,0.207317,0.829268,0,0.829268,0,3.47561,30.36256944,8.040173611
E01003868,0.962963,0.444444,0,0.444444,0.962963,5.37037,81.95667708,8.9240625
E01015816,0.894737,1,0,1,0,4.894737,28.78436275,7.035754902
E01020101,0,1,0,1,0,3.0375,39.93675,9.311428571
E01031863,0.015385,0.938462,0,0.953846,0,2.953846,30.47736111,7.153666667
E01022059,0.835443,0.848101,0,0.974684,0,2.64557,48.13103846,20.53021795
E01014396,0.732143,0.517857,0,0.660714,0.714286,4.763636,29.5719,5.3068
E01025141,0.918919,0.756757,0.243243,1,0.756757,7.891892,80.46386111,11.54672222
E01020003,0.515625,0.375,0,0.46875,0.703125,4.285714,70.01104667,11.69752
E01015473,0.326531,0.040816,0.112245,0.642857,0.010204,3.135417,48.82422714,10.10872333
E01012427,0.258065,0.935484,0,0.935484,0.580645,5.096774,42.47885556,9.635122222
E01015010,0.333333,0.761905,0,0.809524,0.952381,5.666667,92.82054167,12.70295833
E01000315,0.404762,1,0,1,0.547619,5.5,25.418,6.41655
E01005643,0.761905,0.214286,0,0.238095,0.785714,4.738095,72.94483333,10.35606667
E01029633,0.367347,0.571429,0.285714,0.857143,0.265306,3.959184,38.22819444,9.408888889
E01014965,0.025641,1,0,1,0.948718,5.871795,87.93142308,11.78384615
E01028408,0.203125,0.875,0,0.953125,0.046875,2.84375,52.43756667,11.49119333
E01011849,0.072464,0.985507,0,0.985507,0.014493,3.768116,28.06680952,6.343142857
S01012134,0.730769,0.884615,0,0.961538,0.653846,7.884615,75.98785455,12.04630909
E01009795,0,0.514286,0.485714,1,0.942857,5.314286,94.83938462,14.59046154
E01017010,0,1,0,1,0.965517,4.862069,75.85076923,11.03961538
E01030764,0.016393,0.983607,0,0.983607,0,2.967213,62.8526119,11.76708571
E01029182,0.037736,0.943396,0,0.943396,0,2.942308,32.61806111,7.269969444
E01026263,1,0.666667,0,0.666667,0,3.421053,52.3507746,14.50870317
E01023266,0,0.976744,0,0.976744,0.627907,5.093023,59.95471875,11.0875
E01007282,0.107143,1,0,1,0,3,42.124,6.865636364
E01017641,0.644068,0.279661,0.152542,0.432203,0.254237,3.547009,93.9916746,18.16781746
E01031513,0.275168,0.798658,0,0.798658,0,6,33.01097685,7.868303241
E01031509,0.426471,0.860294,0,0.860294,0,5.6,48.35638333,22.5468537
W01001765,0.916667,0.041667,0.041667,0.083333,1,5.041667,150.461,21.4533
W01001654,0.59375,1,0,1,0.8125,4.625,57.48835714,11.66514286
E01002642,0.396552,0.637931,0,0.724138,0.62069,4.741379,60.22421875,14.89080208
E01033291,0.764706,0.235294,0,0.235294,0,3.323529,30.21121319,6.690861806
E01021214,0.107692,0.938462,0,0.938462,0,2.953846,33.07000926,8.560305556
E01030042,0.147727,0.931818,0,0.931818,0.125,2.806818,54.99997917,14.24198958
E01029406,0.315068,0.657534,0,0.753425,0,1.291667,36.6065,7.573461111
E01028469,0.018519,1,0,1,0.981481,5.925926,35.5392,7.736
E01021303,0,0.904762,0,1,1,5,103.3416667,10.93666667
E01030043,0.294872,0.435897,0.346154,0.782051,0,2.833333,61.55654667,13.83177333
E01007328,0.773585,0.867925,0,0.867925,0.622642,4.660377,51.49638596,11.37396053
E01026596,0.022727,0.886364,0,0.909091,0.590909,4.116279,39.30666667,7.960487179
W01001047,0,0.976744,0.023256,1,0,3.162791,18.73889744,4.135910256
E01016607,0.893617,0.914894,0,0.957447,0,5.191489,40.40473529,12.78986275
E01005030,0.818182,0.090909,0.090909,0.181818,0.863636,4.590909,133.8902273,13.27227273
E01009425,0.633333,0.833333,0,0.866667,0.4,3.75,51.66978947,11.67074561
E01014042,0.733333,1,0,1,0,4.033333,42.87259091,12.53204545
E01031654,0.609756,0.585366,0.390244,0.97561,0,5.487805,34.16719608,7.383166667
E01027083,0.615385,1,0,1,0.923077,7.692308,142.0595,16.0685
E01011879,0.8125,0.1875,0,0.1875,0,3.1875,36.13410526,6.173403509
E01028552,0.162791,0.627907,0.348837,1,0.72093,5.162791,80.16732407,11.09384259
E01032070,0.191176,0.911765,0,0.911765,0.294118,3.626866,61.83488235,13.90588235
E01011714,0.184211,0.736842,0,0.973684,0.947368,5.815789,85.27475,14.989625
E01023041,0,1,0,1,0,4.986486,35.36226344,8.14555914
E01033194,0.609375,0.398438,0,0.5,0.007813,2.685039,51.2399381,13.37492143
E01023422,0.307692,0.788462,0,0.788462,0.423077,3.568627,75.13518421,10.83315789
E01004175,0.68,1,0,1,0.88,6.36,136.5191667,39.977
S01007081,1,1,0,1,0,4,27.530625,6.723104167
E01029897,0.247191,0.94382,0,0.94382,0,2.75,29.84800575,7.910787356
E01013650,1,1,0,1,1,5,81.83668333,13.26326667
E01012684,0,0.92,0,1,0.92,4.8,81.68416667,11.03645833
E01016881,0.62069,1,0,1,0.965517,5.896552,99.86006667,12.2464
E01022378,0.904762,0.666667,0,1,0.642857,7.857143,157.4074342,30.37552632
E01007274,0.786885,0.213115,0,0.213115,0.721311,4.508197,38.71883333,9.376944444
E01020496,0.807692,0.192308,0,0.192308,0,3,22.25052632,4.519254386
E01029926,0.761905,1,0,1,0,3,35.58025,11.41405208
E01004042,0.921053,0.684211,0,0.921053,0.605263,5.973684,148.6146548,103.2548571
E01001752,0.735849,0.698113,0,0.754717,0.679245,5.716981,121.5839412,90.00158824
E01030438,0.080645,0.935484,0.032258,0.983871,0.725806,5.344262,70.267125,13.1488125
E01014131,0.22449,0.887755,0,0.887755,0.183673,1.938776,39.00375,10.7244375
E01031726,0.421053,0.973684,0,0.973684,0.026316,4.947368,33.699625,9.88765
E01028858,0.482412,0.296482,0,0.507538,0,1.959391,35.48322308,11.49629872
95GG42S3,0.911111,0.044444,0,0.044444,0.911111,4.688889,120.5624231,14.36847436
E01013577,0.755556,1,0,1,0.666667,5.044444,59.38653571,9.809531746
E01006003,1,0.742857,0.2,0.971429,0.914286,6.457143,130.1685714,12.64785714
E01003110,0.530612,0.959184,0,0.979592,0.612245,5.693878,44.26994737,10.509
E01015965,0.783784,0.648649,0.027027,1,0.972973,6.27027,53.38442593,8.842898148
E01032831,0.837838,0.945946,0,0.945946,0,5.324324,57.284125,20.48305833
E01018452,1,1,0,1,0,3,27.44858974,6.640192308
E01002911,0.067797,1,0,1,0.847458,6.677966,37.60957407,10.11783333
W01000366,0.953488,1,0,1,0.860465,6.581395,74.28571875,12.07209375
E01026493,0.265625,0.6875,0,0.765625,0,2.296875,25.07727619,5.657914286
E01013833,0.5,0.966667,0,0.966667,0.8,6.793103,83.35928571,15.76071429
E01026560,0.418605,0.697674,0.069767,0.883721,0.767442,5.162791,55.7738,14.37665
E01002448,0,1,0,1,0.837209,5.604651,95.85555556,15.35722222
E01027911,0.8125,0.9375,0,0.96875,0,3.1875,42.40603704,9.738
E01014782,0.8125,0.9375,0,1,0.90625,5.53125,67.15029167,11.11704167
E01002997,0.32,0.84,0.16,1,0.92,6,85.09818182,9.600939394
S01009865,0.166667,0.833333,0,0.833333,0,3.5,31.56371667,9.759033333
E01007639,0.025,0.9375,0,0.9875,0,3.9625,30.79746667,7.145866667
E01008513,0.727273,0.218182,0,0.272727,0.018182,3.236364,56.45740833,14.00265
E01015308,0.622222,0.955556,0,0.977778,0.711111,6.288889,75.81961957,12.59632609
S01012225,0.233333,1,0,1,0.933333,6.533333,126.1397222,14.90166667
E01017275,0.4,1,0,1,0.966667,7.233333,54.84286364,18.14111364
E01032219,0,0.833333,0.166667,1,0,4.47619,39.68695652,9.500275362
E01000962,0.925926,0.962963,0,0.962963,0.962963,6.961538,75.27558974,11.85558974
S01012548,0.859375,0.5,0,0.5,0.171875,3.03125,51.87509091,12.09222727
S01008127,0.333333,0.857143,0,0.904762,0.47619,4.761905,40.71285714,7.215714286
E01010368,0.153374,0.650307,0,0.742331,0.196319,3.875,59.40672222,12.77116667
E01003603,0.842105,0.473684,0.368421,0.947368,0.631579,5.421053,218.7872619,146.7616488
E01017531,0,0.875,0.125,1,1,5.875,59.03833333,9.929907407
E01006083,0.530612,0.938776,0.061224,1,0.020408,3.653061,44.78011111,9.889972222
E01031670,0.944444,0.861111,0.138889,1,0,5.638889,44.2550625,10.06939583
E01019220,0,1,0,1,0.038462,5,35.68392222,10.73284444
E01020117,0.309524,0.952381,0,0.97619,0,3.463415,31.02199621,5.771143939
E01003330,0.1,0.933333,0,0.933333,0.833333,5.533333,84.04445833,31.1015
E01024090,0,1,0,1,0.019608,4.980392,26.3995,8.407944444
E01026856,0.931034,0.931034,0.068966,1,1,5.931034,102.6093125,14.497
E01018475,0.933333,0.933333,0.033333,0.966667,0,4.7,74.2150291,15.95885185
E01008462,0,0.971429,0,1,0.714286,5.371429,49.43833333,6.497222222
E01017164,0.704545,0.772727,0,1,0.954545,7.25,42.69584375,9.175208333
E01032500,0.866667,0.6,0.177778,0.8,0.955556,7.711111,84.40625,12.73983333
E01028373,0.71875,0.239583,0,0.302083,0.520833,3.569892,93.56865591,16.78395699
E01030172,0.353448,0.801724,0,0.801724,0,2.869565,36.73262121,10.09911364
E01022432,0.037736,0.018868,0,0.943396,0.867925,4.735849,136.5471569,16.36245098
E01003866,0.892857,1,0,1,0.892857,5.785714,63.96176852,12.59636111
S01010934,0.62963,0.37037,0,0.37037,0,3,62.87821296,14.72109259
E01030410,0.717949,0.282051,0,0.282051,0.820513,4.923077,63.35163636,11.31936364
E01015730,0,1,0,1,0.885714,5.742857,59.36625,9.993125
E01014459,0.382979,0.978723,0,0.978723,0,3.319149,36.841875,9.484785714
E01030544,0.1,1,0,1,0.042857,4.142857,51.59098,10.7067
E01020089,0.025641,0.923077,0,1,0,3.012821,25.92038889,6.287118056
W01000386,0.813953,0.953488,0,0.953488,0,2.883721,31.95922222,10.76088889
E01032269,0.645161,1,0,1,0.774194,6.064516,166.3188,17.70366667
E01028005,0.240964,0.939759,0,0.975904,0,3.939759,38.44022464,10.36975362
W01000724,0.564103,0.974359,0,0.974359,0,2.948718,39.9169537,9.220277778
E01028659,0.111111,0.979798,0,1,0,3.212121,34.4894349,8.709986979
E01002616,0.862069,1,0,1,0.931034,5.862069,105.3097727,50.29522727
E01010038,0,0.342105,0.473684,1,0.842105,4.973684,69.01692308,11.74153846
E01033024,1,1,0,1,0.875,5.75,107.6437143,14.09759524
E01013027,0.8,0.184615,0,0.446154,0,2.671875,39.38764286,9.766142857
E01030786,0.435897,1,0,1,0.897436,6.230769,96.35266667,27.66150926
E01011909,0,1,0,1,1,6,68.36195238,10.60390476
W01001398,0.791667,0.916667,0.083333,1,0.5625,5.604167,49.85731667,12.80638
W01001241,0,0.54902,0.45098,1,0.921569,4.823529,129.4266818,16.768
E01027386,0.192308,1,0,1,0,3,26.81621212,5.963333333
E01033013,0.619718,0.619718,0,0.732394,0.408451,5.478261,125.8162143,119.6260714
S01009216,0.458333,0.666667,0,0.916667,0.833333,5.625,69.2275,8.35875
E01000589,0.75,0.78125,0,0.8125,0.71875,5.40625,110.9465313,26.98825
E01032087,0.030769,0.984615,0,0.984615,0.723077,4.446154,61.41293333,11.17233333
